IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.122.95,2095,2095,false,NRT,Asia Pacific,Tokyo,78,10.25
129.153.119.97,443,443,true,LAX,North America,Los Angeles,212,10.24
89.168.105.86,443,443,true,FRA,Europe,Frankfurt,175,10.24
89.168.96.170,443,443,true,FRA,Europe,Frankfurt,187,10.24
158.101.159.181,8443,8443,true,SIN,Asia Pacific,Singapore,174,10.24
132.226.9.173,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,10.23
84.235.170.44,443,443,true,FRA,Europe,Frankfurt,193,10.23
138.3.220.4,2053,2053,true,HKG,Asia Pacific,Hong Kong,186,10.22
141.147.46.173,443,443,true,FRA,Europe,Frankfurt,171,10.22
84.235.162.88,443,443,true,FRA,Europe,Frankfurt,184,10.19
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,190,10.18
132.226.5.21,80,80,false,HKG,Asia Pacific,Hong Kong,192,10.17
132.226.6.5,80,80,false,HKG,Asia Pacific,Hong Kong,192,10.17
141.147.169.195,2052,2052,false,NRT,Asia Pacific,Tokyo,125,10.16
152.70.104.69,80,80,false,HKG,Asia Pacific,Hong Kong,186,10.16
130.162.224.209,443,443,true,FRA,Europe,Frankfurt,187,10.16
132.145.123.159,2086,2086,false,NRT,Asia Pacific,Tokyo,76,10.16
84.235.171.82,443,443,true,FRA,Europe,Frankfurt,199,10.15
132.145.127.21,2095,2095,false,NRT,Asia Pacific,Tokyo,83,10.14
143.47.227.178,443,443,true,FRA,Europe,Frankfurt,176,10.13
132.145.127.21,2096,2096,true,NRT,Asia Pacific,Tokyo,80,10.12
141.148.232.58,443,443,true,FRA,Europe,Frankfurt,183,10.12
141.144.205.244,443,443,true,FRA,Europe,Frankfurt,191,10.12
152.70.111.251,2087,2087,true,NRT,Asia Pacific,Tokyo,79,10.11
152.70.106.13,2096,2096,true,NRT,Asia Pacific,Tokyo,75,10.11
158.101.131.218,2053,2053,true,HKG,Asia Pacific,Hong Kong,203,10.11
141.148.233.183,443,443,true,AMS,Europe,Amsterdam,306,10.10
151.145.75.28,2096,2096,true,NRT,Asia Pacific,Tokyo,90,10.10
158.179.190.253,8880,8880,false,HKG,Asia Pacific,Hong Kong,184,10.10
152.70.99.187,8443,8443,true,SIN,Asia Pacific,Singapore,198,10.10
138.3.211.101,2086,2086,false,HKG,Asia Pacific,Hong Kong,188,10.09
141.147.167.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,143,10.09
141.148.238.33,443,443,true,FRA,Europe,Frankfurt,212,10.08
151.145.70.28,2083,2083,true,HKG,Asia Pacific,Hong Kong,287,10.08
158.101.148.221,2053,2053,true,HKG,Asia Pacific,Hong Kong,136,10.08
138.3.214.43,2083,2083,true,HKG,Asia Pacific,Hong Kong,190,10.07
141.147.182.70,2087,2087,true,NRT,Asia Pacific,Tokyo,139,10.07
138.3.212.144,2096,2096,true,SIN,Asia Pacific,Singapore,195,10.06
151.145.75.28,2086,2086,false,NRT,Asia Pacific,Tokyo,128,10.03
132.226.14.155,8880,8880,false,NRT,Asia Pacific,Tokyo,78,10.02
144.21.61.131,443,443,true,FRA,Europe,Frankfurt,188,10.01
132.145.125.86,2086,2086,false,HKG,Asia Pacific,Hong Kong,187,10.01
193.123.33.82,443,443,true,FRA,Europe,Frankfurt,162,10.00
144.21.32.193,2053,443,true,AMS,Europe,Amsterdam,209,9.99
151.145.70.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,192,9.99
158.101.154.70,8880,8880,false,HKG,Asia Pacific,Hong Kong,144,9.99
158.101.149.52,2096,2096,true,NRT,Asia Pacific,Tokyo,79,9.99
158.101.158.238,2053,2053,true,HKG,Asia Pacific,Hong Kong,150,9.98
158.101.147.4,2053,2053,true,HKG,Asia Pacific,Hong Kong,158,9.98
158.101.131.218,8880,8880,false,SIN,Asia Pacific,Singapore,166,9.98
158.178.193.75,80,80,false,CDG,Europe,Paris,183,9.97
141.148.231.43,443,443,true,FRA,Europe,Frankfurt,183,9.97
158.179.191.14,8080,8080,false,NRT,Asia Pacific,Tokyo,75,9.95
158.101.136.239,2082,2082,false,HKG,Asia Pacific,Hong Kong,158,9.94
158.101.137.74,80,80,false,HKG,Asia Pacific,Hong Kong,143,9.94
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,192,9.93
132.226.6.5,2095,2095,false,NRT,Asia Pacific,Tokyo,81,9.92
158.101.146.203,2082,2082,false,NRT,Asia Pacific,Tokyo,129,9.91
89.168.101.170,443,443,true,FRA,Europe,Frankfurt,167,9.91
138.3.223.70,2083,2083,true,NRT,Asia Pacific,Tokyo,125,9.91
132.145.125.165,80,80,false,NRT,Asia Pacific,Tokyo,127,9.91
140.238.32.238,2083,2083,true,HKG,Asia Pacific,Hong Kong,140,9.90
158.101.146.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,206,9.89
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,165,9.89
132.145.122.95,80,80,false,NRT,Asia Pacific,Tokyo,76,9.89
193.123.94.216,443,443,true,MXP,Europe,Milan,171,9.88
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,178,9.86
141.148.239.117,443,443,true,FRA,Europe,Frankfurt,176,9.85
151.145.68.166,2082,2082,false,HKG,Asia Pacific,Hong Kong,188,9.85
141.148.242.227,443,443,true,FRA,Europe,Frankfurt,211,9.84
141.147.167.44,2053,2053,true,NRT,Asia Pacific,Tokyo,80,9.84
141.144.200.41,443,443,true,FRA,Europe,Frankfurt,245,9.84
138.3.216.67,8443,8443,true,NRT,Asia Pacific,Tokyo,96,9.83
141.147.178.202,8880,8880,false,HKG,Asia Pacific,Hong Kong,186,9.83
193.123.58.87,443,443,true,FRA,Europe,Frankfurt,193,9.83
141.147.166.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,190,9.82
152.70.111.251,8880,8880,false,NRT,Asia Pacific,Tokyo,77,9.82
152.70.111.251,2083,2083,true,NRT,Asia Pacific,Tokyo,80,9.82
141.148.241.5,443,443,true,FRA,Europe,Frankfurt,183,9.81
